id,name,now_cost,position,team,total_points,dreamteam_count,transfers_in_event,clean_sheets,goals_conceded_per_90,saves_per_90,influence_rank_type,points_per_game,selected_rank,corners_and_indirect_freekicks_order,event_points,mng_draw,penalties_order,web_name,team_join_date,influence_rank,bonus,mng_underdog_win,news,ict_index,expected_goals_per_90,value_form,expected_assists,transfers_out_event,expected_goals,creativity_rank_type,expected_assists_per_90,points_per_game_rank_type,form_rank_type,status,cost_change_start_fall,threat_rank,yellow_cards,bps,can_select,expected_goal_involvements_per_90,minutes,starts_per_90,penalties_saved,opta_code,saves,form,cost_change_start,threat,points_per_game_rank,cost_change_event_fall,direct_freekicks_order,penalties_missed,transfers_out,region,mng_underdog_draw,cost_change_event,selected_by_percent,chance_of_playing_next_round,chance_of_playing_this_round,ict_index_rank,expected_goals_conceded_per_90,mng_win,ep_this,value_season,mng_loss,clean_sheets_per_90,ep_next,news_added,goals_scored,starts,mng_clean_sheets,form_rank,assists,mng_goals_scored,expected_goals_conceded,now_cost_rank,now_cost_rank_type,red_cards,in_dreamteam,transfers_in,goals_conceded,own_goals,selected_rank_type,influence,expected_goal_involvements,threat_rank_type,creativity,creativity_rank,ict_index_rank_type
524,Max Kilman,43,DEF,West Ham,46,1,675,3,1.98,0.0,10,1.9,195,,1,0,,Kilman,2024-07-05,33,3,0,,78.1,0.06,0.3,0.73,1143,1.44,47,0.03,92,70,a,2,180,3,210,True,0.09,2088,1.03,0,p214048,0,1.2,-2,122.0,282,0,,0,350667,241.0,0,0,1.1,100.0,100.0,115,1.76,0,0.7,10.7,0,0.13,1.2,2024-12-27T02:00:09.960422Z,0,24,0,243,1,0,40.94,572,128,0,False,338549,46,0,78,521.0,2.17,38,134.6,192,24
525,Mohammed Kudus,62,MID,West Ham,59,0,2240,3,1.9,0.0,64,3.1,124,,2,0,,Kudus,2023-08-27,162,4,0,,112.4,0.27,0.3,1.79,3713,4.70,55,0.1,56,85,a,3,35,0,215,True,0.37,1563,1.09,0,p460842,0,2.0,-3,499.0,123,0,,0,979782,81.0,0,0,2.4,100.0,100.0,55,1.64,0,1.5,9.5,0,0.17,2.0,2024-10-19T16:00:07.402004Z,3,19,0,197,1,0,28.47,67,42,1,False,357777,33,0,39,292.6,6.49,19,333.5,71,36
526,Luis Guilherme Lira dos Santos,46,MID,West Ham,6,0,21,0,3.75,0.0,209,1.0,617,,1,0,,L.Guilherme,2024-06-14,450,0,0,,5.2,0.06,0.1,0.12,29,0.03,189,0.22,214,161,a,4,419,0,23,True,0.28,48,0.0,0,p577114,0,0.5,-4,4.0,465,0,,0,4560,30.0,0,0,0.0,,,434,2.53,0,0.0,1.3,0,0.0,0.5,,0,0,0,339,0,0,1.35,360,233,0,False,2251,2,0,247,14.0,0.15,219,34.6,334,206
527,Lucas Tolentino Coelho de Lima,57,MID,West Ham,64,0,109,3,2.13,0.0,53,2.9,204,,0,0,1.0,L.Paquetá,2022-08-29,142,5,0,Groin Injury - 75% chance of playing,92.5,0.27,0.4,2.00,2746,4.79,42,0.11,60,59,d,3,102,6,262,True,0.38,1606,1.06,0,p224024,0,2.5,-3,219.0,140,0,3.0,0,338725,30.0,0,0,1.0,75.0,75.0,87,1.82,0,1.5,11.2,0,0.17,1.9,2025-01-31T15:30:09.034002Z,4,19,0,151,1,0,32.43,94,62,0,False,230305,38,0,61,317.6,6.79,67,391.5,53,55
528,Konstantinos Mavropanos,43,DEF,West Ham,30,0,52,2,1.86,0.0,48,1.5,430,,1,0,,Mavropanos,2023-08-22,130,4,0,,52.9,0.06,0.0,0.37,86,0.96,85,0.02,112,214,a,2,175,2,163,True,0.08,1402,0.96,0,p233963,0,0.0,-2,126.0,342,0,,0,24323,83.0,0,0,0.1,100.0,100.0,199,1.78,0,-0.5,7.0,0,0.13,0.0,2025-01-18T19:00:08.794269Z,0,15,0,537,0,0,27.71,578,134,1,False,18587,29,0,150,342.2,1.33,34,59.8,294,60
529,Nayef Aguerd,44,DEF,West Ham,0,0,0,0,0.0,0.0,239,0.0,563,,0,0,,N.Aguerd,,629,0,0,On loan to Real Sociedad for the season,0.0,0.0,0.0,0.00,9,0.00,238,0.0,238,222,u,1,595,0,0,False,0.0,0,0.0,0,p210494,0,0.0,-1,0.0,635,0,,0,13307,,0,0,0.0,0.0,0.0,630,0.0,0,0.0,0.0,0,0.0,0.0,2024-09-01T09:10:50.538029Z,0,0,0,550,0,0,0.00,500,94,0,False,1368,0,0,195,0.0,0.00,234,0.0,620,239
530,Tomáš Souček,49,MID,West Ham,76,0,1237,4,1.74,0.0,33,3.5,155,,2,0,,Souček,2020-07-28,93,8,0,,96.4,0.2,0.6,1.17,3475,3.77,102,0.06,40,49,a,1,54,7,277,True,0.26,1703,1.0,0,p215439,0,2.8,-1,373.0,89,0,,0,534908,57.0,0,0,1.6,100.0,100.0,81,1.59,0,2.3,15.5,0,0.21,2.8,2024-12-27T00:30:09.920421Z,5,19,0,130,2,0,30.04,264,171,0,False,452326,33,0,50,407.6,4.94,34,189.7,148,53
531,James Ward-Prowse,61,MID,West Ham,15,0,623,1,1.75,0.0,172,1.5,260,1.0,0,0,,Ward-Prowse,2023-08-14,369,0,0,,14.8,0.01,0.0,0.79,818,0.06,166,0.17,166,324,a,4,381,0,64,True,0.18,412,1.09,0,p101178,0,0.0,-4,11.0,355,0,1.0,0,169835,241.0,0,0,0.5,100.0,100.0,369,1.23,0,-0.5,2.5,0,0.22,0.0,2024-10-25T22:30:06.650947Z,0,5,0,752,1,0,5.64,70,44,1,False,30674,8,0,78,65.0,0.85,205,71.5,274,178
532,Kurt Zouma,44,DEF,West Ham,0,0,0,0,0.0,0.0,238,0.0,424,,0,0,,Zouma,,627,0,0,On loan to Al-Orobah for the rest of the season,0.0,0.0,0.0,0.00,58,0.00,237,0.0,237,220,u,1,592,0,0,False,0.0,0,0.0,0,p103192,0,0.0,-1,0.0,633,0,,0,50735,,0,0,0.1,0.0,0.0,628,0.0,0,0.0,0.0,0,0.0,0.0,2024-09-02T10:44:47.323774Z,0,0,0,546,0,0,0.00,486,85,0,False,5376,0,0,147,0.0,0.00,233,0.0,618,238
576,Andy Irving,48,MID,West Ham,8,0,19,0,2.25,0.0,179,0.9,618,,1,0,,Irving,2023-08-31,397,0,0,,8.2,0.07,0.2,0.12,22,0.12,200,0.07,232,150,a,2,355,2,35,True,0.14,160,0.56,0,p229384,0,0.8,-2,19.0,492,0,,0,2792,243.0,0,0,0.0,,,404,2.37,0,0.3,1.7,0,0.0,0.8,,0,1,0,309,0,0,4.21,311,204,0,False,1396,4,0,248,37.2,0.24,193,26.1,360,197
587,Crysencio Summerville,55,MID,West Ham,33,0,12,2,2.32,0.0,120,1.7,305,5.0,0,0,,Summerville,2024-08-03,271,2,0,Lack of match fitness - 50% chance of playing,58.7,0.19,0.0,1.71,662,1.61,80,0.2,151,317,d,5,122,2,129,True,0.39,776,0.81,0,p450070,0,0.0,-5,186.0,325,1,,0,124283,152.0,0,-1,0.3,50.0,25.0,172,2.04,0,-0.1,6.0,0,0.23,0.0,2025-01-11T01:30:09.528172Z,1,7,0,742,1,0,17.58,118,74,0,False,49064,20,0,95,156.4,3.32,82,246.1,111,94
588,Guido Rodríguez,48,MID,West Ham,28,0,37,3,1.6,0.0,115,1.5,508,,0,0,,G.Rodríguez,2024-08-06,258,0,0,,25.5,0.02,0.2,0.12,70,0.22,176,0.01,161,132,a,2,340,5,162,True,0.03,1015,1.24,0,p197024,0,1.0,-2,23.0,348,0,,0,10831,10.0,0,0,0.1,100.0,100.0,313,1.62,0,0.5,5.8,0,0.27,1.0,2024-12-27T00:30:09.990636Z,0,14,0,278,0,0,18.28,300,197,0,False,7020,18,0,186,168.6,0.34,185,62.1,292,156
