id,name,now_cost,position,team,total_points,assists,penalties_saved,goals_scored,cost_change_start_fall,expected_goal_involvements,goals_conceded,creativity_rank,in_dreamteam,chance_of_playing_next_round,influence_rank,threat,news,region,selected_rank,expected_assists,clean_sheets_per_90,value_form,clean_sheets,ep_next,transfers_out_event,chance_of_playing_this_round,ict_index_rank_type,cost_change_start,points_per_game_rank_type,goals_conceded_per_90,ict_index_rank,expected_goals_conceded,saves,creativity,ep_this,ict_index,expected_goal_involvements_per_90,expected_assists_per_90,points_per_game,expected_goals_per_90,penalties_missed,selected_by_percent,transfers_in,minutes,status,transfers_in_event,expected_goals,threat_rank,now_cost_rank,yellow_cards,cost_change_event_fall,red_cards,penalties_order,bps,web_name,form_rank,transfers_out,can_select,creativity_rank_type,news_added,dreamteam_count,selected_rank_type,points_per_game_rank,influence_rank_type,starts_per_90,saves_per_90,cost_change_event,corners_and_indirect_freekicks_order,form_rank_type,influence,bonus,expected_goals_conceded_per_90,now_cost_rank_type,threat_rank_type,event_points,form,value_season,own_goals,direct_freekicks_order,starts
362,John Stones,5.3,DEF,Man City,20,0,0,2,2,0.72,5,325,False,50.0,269,70.0,Foot injury - 50% chance of playing,241.0,181,0.12,0.0,0.0,0,0.5,5842,0.0,93,-2,37,1.59,289,3.13,0,21.0,0.0,18.7,0.23,0.04,2.9,0.19,0,1.4,185213,283,d,82,0.6,195,145,1,0,0,,56,Stones,665,307320,True,106,2024-12-03T13:00:08.353446Z,1,74,135,99,0.95,0.0,0,,227,97.6,1,1.0,14,46,0,0.0,3.8,0,,3
363,Kyle Walker,5.2,DEF,Man City,11,0,0,0,3,1.41,17,127,False,100.0,217,29.0,,241.0,100,1.29,0.0,0.2,0,1.8,6331,100.0,65,-3,145,1.96,214,15.85,0,140.7,1.8,30.5,0.16,0.15,1.0,0.01,0,3.5,163402,782,a,3945,0.12,282,157,1,0,0,,66,Walker,299,784927,True,25,2024-10-20T21:30:07.137600Z,0,39,430,84,0.92,0.0,0,,88,134.8,0,1.82,18,87,1,0.8,2.1,0,,8
571,Sávio 'Savinho' Moreira de Oliveira,6.5,MID,Man City,35,3,0,0,0,5.07,11,28,False,100.0,206,256.0,,30.0,208,2.98,0.25,0.2,2,2.5,5659,100.0,31,0,60,1.39,49,8.47,0,328.2,2.5,72.8,0.64,0.38,2.9,0.26,0,0.9,486485,710,a,812,2.09,46,47,2,0,0,,152,Sávio,220,477575,True,23,2024-10-31T02:30:07.756984Z,0,62,139,83,1.14,0.0,0,6.0,111,143.4,6,1.07,27,28,2,1.5,5.4,0,4.0,9
607,Nico O'Reilly,4.9,MID,Man City,0,0,0,0,1,0.0,0,656,False,100.0,662,0.0,,241.0,614,0.0,0.0,0.0,0,1.0,20,100.0,297,-1,297,0.0,662,0.0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0.0,1066,0,a,15,0.0,652,278,0,0,0,,0,O’Reilly,633,1606,True,297,2024-11-13T15:30:08.718593Z,0,265,662,297,0.0,0.0,0,,278,0.0,0,0.0,182,295,0,0.0,0.0,0,,0
625,Ilkay Gündogan,6.5,MID,Man City,28,1,0,0,0,3.13,16,25,False,,223,131.0,,80.0,266,1.59,0.19,0.3,2,2.8,2740,,50,0,115,1.52,81,17.71,0,345.4,2.8,60.7,0.3,0.15,2.0,0.15,0,0.5,131657,950,a,979,1.55,117,42,1,0,0,,168,Gündogan,199,109955,True,21,,0,84,251,93,1.04,0.0,0,2.0,96,131.6,0,1.68,23,77,2,1.8,4.3,0,2.0,11
626,Issa Kaboré,4.5,DEF,Man City,0,0,0,0,0,0.0,0,598,False,0.0,603,0.0,Loaned to Benfica,,661,0.0,0.0,0.0,0,0.0,4,0.0,228,0,227,0.0,605,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,491,0,u,0,0.0,581,407,0,0,0,,0,Kaboré,550,738,False,228,2024-09-05T10:37:05.659734Z,0,225,609,228,0.0,0.0,0,,219,0.0,0,0.0,79,223,0,0.0,0.0,0,,0
671,Jacob Wright,4.5,MID,Man City,0,0,0,0,0,0.0,0,613,False,,617,0.0,,241.0,642,0.0,0.0,0.0,0,1.0,75,,266,0,268,0.0,619,0.0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0.0,1062,0,a,88,0.0,597,434,0,0,0,,0,Wright,568,519,True,268,,0,282,623,264,0.0,0.0,0,,229,0.0,0,0.0,266,261,0,0.0,0.0,0,,0
672,Jahmai Simpson-Pusey,4.0,DEF,Man City,0,0,0,0,0,0.01,2,410,False,100.0,398,0.0,,241.0,601,0.01,0.0,0.0,0,1.0,151,100.0,145,0,195,2.0,427,2.29,0,1.8,1.0,2.0,0.01,0.01,0.0,0.0,0,0.0,2673,90,a,177,0.0,480,665,1,0,0,,4,Simpson-Pusey,451,1130,True,145,2024-11-13T15:30:08.805382Z,0,202,539,140,1.0,0.0,0,,171,18.2,0,2.29,206,182,0,0.0,0.0,0,,1
675,Josh Wilson-Esbrand,4.0,DEF,Man City,0,0,0,0,0,0.0,0,488,False,,508,0.0,,241.0,626,0.0,0.0,0.0,0,1.0,90,,180,0,176,0.0,510,0.0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0.0,1077,0,a,144,0.0,452,634,0,0,0,,0,Wilson-Esbrand,422,483,True,178,,0,210,511,180,0.0,0.0,0,,151,0.0,0,0.0,184,163,0,0.0,0.0,0,,0
364,Amad Diallo,5.1,MID,Man Utd,52,6,0,1,-1,2.58,10,41,False,100.0,88,225.0,,54.0,55,1.3,0.57,1.2,5,5.2,17714,100.0,29,1,21,1.13,43,13.49,0,283.0,6.2,76.7,0.3,0.15,4.0,0.15,0,7.1,1057678,793,a,55050,1.28,54,184,2,-1,0,,225,Amad,11,668355,True,33,2024-11-08T18:30:07.952497Z,0,16,49,30,0.91,0.0,1,3.0,8,258.2,5,1.53,113,33,5,6.2,10.2,0,,8
